网源,#genre#
重庆卫视,http://qxlmlive.cbg.cn:1935/app_2/ls_67.stream/chunklist.m3u8#http://183.207.248.71/cntv/live1/HD-8000k-1080P-chongqingstv/HD-8000k-1080P-chongqingstv#rtsp://183.252.166.199/PLTV/88888888/224/3221226753/45949735.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226202/1.m3u8#http://223.110.242.133:6610/gitv/live1/G_CHONGQING-CQ/G_CHONGQING-CQ/#http://60.255.49.202:80/live/cqwsH265_4000.m3u8#http://219.150.217.41:6610/PLTV1/1340/default.m3u8?ztecid=1340#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000595&playtoken=ABCDEFGH&auth=noC
天津卫视,http://223.110.242.133:6610/gitv/live1/G_TIANJIN-CQ/G_TIANJIN-CQ/#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226204/1.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225698/index.m3u8#http://117.148.179.146:80/PLTV/88888888/224/3221228905/index.m3u8#http://60.255.49.202:80/live/tjwsH265_4000.m3u8#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000559&playtoken=ABCDEFGH&auth=noC
浙江卫视,http://117.148.179.140:80/PLTV/88888888/224/3221229352/index.m3u8#http://111.40.196.25/PLTV/88888888/224/3221225523/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225798/1.m3u8#http://111.63.77.77:80/gitv_live/G_ZHEJIANG-MD/G_ZHEJIANG-MD.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226040/10000100000000060000000002296881_0.smil#http://60.255.49.202:80/live/zjwsH265_4000.m3u8#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000103&playtoken=ABCDEFGH&auth=noC
福建卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226121/10000100000000060000000002358085_0.smil#http://coocaa-ynbit-ws.ifengli.com:2386/live/fjws-hd/1.m3u8#http://39.135.32.29:6610/000000001000/1000000002000009263/1.m3u8?#http://219.150.217.41:6610/PLTV1/1400/default.m3u8?ztecid=1400#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000560&playtoken=ABCDEFGH&auth=noC
海峡卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
湖南卫视,http://coocaa-ynbit-ws.ifengli.com:2386/live/hnws-hd/1.m3u8#http://111.63.77.77:80/gitv_live/G_HUNAN-MD/G_HUNAN-MD.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226082/10000100000000060000000002296924_0.smil#http://60.255.49.202:80/live/hnwsH265_4000.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225799/1.m3u8#http://223.110.242.133:6610/gitv/live1/G_HUNAN-CQ/G_HUNAN-CQ/#http://117.148.179.172:80/PLTV/88888888/224/3221231729/index.m3u8#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000102&playtoken=ABCDEFGH&auth=noC
江苏卫视,http://39.135.32.28:6610/000000001000/1000000001000004684/1.m3u8?#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225800/1.m3u8#http://111.40.196.31/PLTV/88888888/224/3221225515/index.m3u8#http://117.148.179.175:80/PLTV/88888888/224/3221231447/index.m3u8#rtsp://183.252.176.54/PLTV/88888888/224/3221226038/10000100000000060000000002296879_0.smil#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000104&playtoken=ABCDEFGH&auth=noC#http://60.255.49.202:80/live/jswsH265_4000.m3u8#http://223.110.242.133:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/
江西卫视,http://111.40.196.30/PLTV/88888888/224/3221225560/index.m3u8#http://39.135.140.227:6610/PLTV/88888888/224/3221225492/2/index.m3u8#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000107&playtoken=ABCDEFGH&auth=noC#rtsp://183.252.166.199/PLTV/88888888/224/3221226687/42186801.smil#http://coocaa-ynbit-ws.ifengli.com:2386/live/jxws-hd/1.m3u8#http://111.63.77.77:80/gitv_live/G_JIANGXI-CQ/G_JIANGXI-CQ.m3u8#http://60.255.49.202:80/live/jxwsH265_4000.m3u8
青海卫视,http://live.geermurmt.com/qhws/sd/live.m3u8
云南卫视,http://39.130.202.62:6610/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8#http://219.150.217.41:6610/PLTV1/1320/index.m3u8?icpid=dxrm1#https://hwapi.yunshicloud.com/8xughf/e0bx15.m3u8
贵州卫视,rtsp://183.252.166.199:554/PLTV/88888888/224/3221226126/10000100000000060000000002434541_0.smil#http://60.255.49.202:80/live/gzwsH265_4000.m3u8#http://111.63.77.77:80/gitv_live/G_GUIZHOU-HQ/G_GUIZHOU-HQ.m3u8#http://219.150.217.41:6610/PLTV1/1160/default.m3u8?ztecid=1160
四川卫视,http://60.255.49.202:80/live/scwsH265_4000.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226806/45949301.smil#http://219.150.217.41:6610/PLTV1/1260/index.m3u8?icpid=dxrm1#http://111.63.77.77:80/gitv_live/G_SICHUAN-HQ/G_SICHUAN-HQ.m3u8#http://httpdvb.slave.yqdtv.com:13164/playurl?playtype=live&protocol=http&playtoken=31603YEQXREOPEG10&auth=no&verifycode=14183&accesstoken=G79E6023V21307D1TD05FABJB53102ABM786710FEI3282697DK98BDA6&programid=4200000154
安徽卫视,http://223.110.242.133:6610/gitv/live1/G_ANHUI-CQ/G_ANHUI-CQ/#http://live1.ahwanyun.cn/wylive/07db2e13-9129-4a79-a059-92d7b400ddf3.m3u8#http://39.135.140.227:6610/PLTV/88888888/224/3221225691/2/index.m3u8#http://117.148.179.177:80/PLTV/88888888/224/3221230215/1.m3u8#http://zbbf2.ahtv.cn/live/749.m3u8#http://111.40.196.25/PLTV/88888888/224/3221225551/index.m3u8#http://60.255.49.202:80/live/ahwsH265_4000.m3u8
山东卫视,https://livealone302.iqilu.com/iqilu/sdtv.m3u8#http://coocaa-ynbit-ws.ifengli.com:2386/live/sdws-hd/1.m3u8#http://111.40.196.36/PLTV/88888888/224/3221225545/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226090/10000100000000060000000002296928_0.smil#http://219.150.217.41:6610/PLTV1/1080/default.m3u8?ztecid=1080#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226209/1.m3u8#http://223.110.242.133:6610/gitv/live1/G_SHANDONG-CQ/G_SHANDONG-CQ/
山西卫视,http://liveflash.sxrtv.com:80/live/sxwshd.m3u8#http://player.521fanli.cn/1691/0/tide/tidem3u8.php?id=shanxihd#http://httpdvb.slave.yqdtv.com:13164/playurl?playtype=live&protocol=http&playtoken=31603YEQXREOPEG10&auth=no&verifycode=14183&accesstoken=G79E6023V21307D1TD05FABJB53102ABM786710FEI3282697DK98BDA6&programid=4200000133
甘肃卫视,http://39.134.39.38/PLTV/88888888/224/3221226240/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225754/1.m3u8
广东卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226089/10000100000000060000000002296927_0.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225803/1.m3u8#http://coocaa-ynbit-ws.ifengli.com:2386/live/gdws-hd/1.m3u8#http://60.255.49.202:80/live/gdwsH265_4000.m3u8#http://223.110.242.133:6610/gitv/live1/G_GUANGDONG-CQ/G_GUANGDONG-CQ/#http://117.148.179.141:80/PLTV/88888888/224/3221231891/1.m3u8#http://219.150.217.41:6610/PLTV1/1040/default.m3u8?ztecid=1040#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000112&playtoken=ABCDEFGH&auth=noC
广西卫视,https://live-cdn.gxxw.com/tv/gxtvlive/index.m3u8#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000125&playtoken=ABCDEFGH&auth=noC#http://live.scuec.edu.cn:8080/hls/gxhd.m3u8
深圳卫视,http://coocaa-ynbit-ws.ifengli.com:2386/live/szws-hd/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225700/index.m3u8#http://111.63.77.77:80/gitv_live/G_SHENZHEN-MD/G_SHENZHEN-MD.m3u8#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000111&playtoken=ABCDEFGH&auth=noC#http://60.255.49.202:80/live/szwsH265_4000.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225801/1.m3u8#http://219.150.217.41:6610/PLTV1/1240/default.m3u8?ztecid=1240
湖北卫视,http://39.135.32.28:6610/000000001000/6956052407855047826/1.m3u8?#http://111.40.196.27/PLTV/88888888/224/3221225654/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226206/1.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226091/10000100000000060000000002296929_0.smil#http://60.255.49.202:80/live/hbwsH265_4000.m3u8#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000109&playtoken=ABCDEFGH&auth=noC
河北卫视,http://live2.plus.hebtv.com/hbwsx/hd/live.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226111/10000100000000060000000002310153_0.smil#http://223.110.242.133:6610/gitv/live1/G_HEBEI-CQ/G_HEBEI-CQ/#http://219.150.217.41:6610/PLTV1/1180/default.m3u8?ztecid=1180#http://121.24.99.246:8090/hls/25/index.m3u8#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000558&playtoken=ABCDEFGH&auth=noC
河南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225767/1.m3u8
辽宁卫视,http://coocaa-ynbit-ws.ifengli.com:2386/live/lnws-hd/1.m3u8#http://39.135.32.28:6610/000000001000/1000000002000024033/1.m3u8?#http://111.40.196.34/PLTV/88888888/224/3221225593/index.m3u8#http://223.110.242.133:6610/gitv/live1/G_LIAONING-CQ/G_LIAONING-CQ/#http://117.148.179.152:80/PLTV/88888888/224/3221231802/1.m3u8#http://219.150.217.41:6610/PLTV1/1120/index.m3u8?icpid=dxrm1
吉林卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226792/48616745.smil#http://coocaa-ynbit-ws.ifengli.com:2386/live/jlws-hd/1.m3u8#http://60.255.49.202:80/live/jlwsH265_4000.m3u8#http://223.110.242.133:6610/gitv/live1/G_JILIN-CQ/G_JILIN-CQ/#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000562&playtoken=ABCDEFGH&auth=noC#http://219.150.217.41:6610/PLTV1/1360/default.m3u8?ztecid=1360
黑龙江卫视,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000113&playtoken=ABCDEFGH&auth=noC#http://111.40.196.38/PLTV/88888888/224/3221225544/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226087/10000100000000060000000002296926_0.smil#http://coocaa-ynbit-ws.ifengli.com:2386/live/hljws-hd/1.m3u8#http://60.255.49.202:80/live/hljwsH265_4000.m3u8#http://117.148.179.141:80/PLTV/88888888/224/3221231967/1.m3u8
海南卫视,rtsp://183.252.166.199:554/PLTV/88888888/224/3221226048/10000100000000060000000002296889_0.smil#http://111.63.77.77:80/gitv_live/G_HAINAN-HQ/G_HAINAN-HQ.m3u8#http://live.scuec.edu.cn:8080/hls/lyhd.m3u8#http://219.150.217.41:6610/PLTV1/1480/default.m3u8?ztecid=1480
三沙卫视,http://pull2.ssws.tv/live/SswsTV20210803.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226819/57526516.smil
宁夏卫视,http://39.134.93.229:6610/000000001000/nxweishi/1.m3u8?.m3u8#http://39.134.93.229:6610/000000001000/nxweishi/1.m3u8?IASHttpSessionId=
个人电影,#genre#
《爱难求情难断...》,https://vdse.bdstatic.com//0c8ed110c5522e9bd31752ecb999b1ab.mp4
《爱你到最后一刻》,https://vd3.bdstatic.com/mda-mhr9c7q9xzgy1812/1080p/cae_h264/1630062648077583523/mda-mhr9c7q9xzgy1812.mp4
《唱着情歌流着泪》,https://vd3.bdstatic.com/mda-mhwaejanf0ie6b8j/1080p/cae_h264/1630409563129833732/mda-mhwaejanf0ie6b8j.mp4
《窗外》《同桌的你》《心太软》《心雨》《小芳》,https://vdse.bdstatic.com//97183ae857df5213fcfaf0fabc18efc3.mp4
《来生再去拥抱你》《梨花飞情人泪》《落雨的秋》《梦,https://vdse.bdstatic.com//d5e3237c7ef186217ea1c9b24d58e2ae.mp4
《偏偏喜欢你》《千千阙歌》《光辉岁月》《海阔天空》,https://vdse.bdstatic.com//c1e04e418d20de0e27b5bf09722d96e7.mp4
《人间惊鸿客》,https://vd3.bdstatic.com/mda-mh2bbyjcqjxjhzkd/1080p/cae_h264/1627978577559447916/mda-mh2bbyjcqjxjhzkd.mp4
《涛声依旧》《雾里看花》《窗外》《心雨》《听心》《,https://vdse.bdstatic.com//db8ba0fda2aad9cb15aa32887a160f06.mp4
《涛声依旧》《潇洒走一回》《昨夜星辰》《女儿情》《,https://vdse.bdstatic.com//f07a3d6a6489458c717c07dc5faf8523.mp4
《天路》《驼铃》《鸿雁》《九儿》《绒花》《小芳》,https://vdse.bdstatic.com//e4b7325ebf3010673a51a24f948a8a97.mp4
《驼铃》《卓玛》《天边》《鸿雁》《天路》草原歌曲,https://vdse.bdstatic.com//f8f4740a4ca7ff31c3a2d8386fc14598.mp4
《忘川彼岸DJ》,https://vd2.bdstatic.com/mda-md2eyfntemujuft5/1080p/cae_h264/1617446472/mda-md2eyfntemujuft5.mp4
《无味》 DJ版,https://vd3.bdstatic.com/mda-mgqiagirsmmpuarm/1080p/cae_h264/1627218846577884242/mda-mgqiagirsmmpuarm.mp4
《哑巴新娘...》,https://vdse.bdstatic.com//1a3fdd4def6feeef6a49f4c2bfd9fec2.mp4
【老歌DJ版】《精选8首》,https://vdse.bdstatic.com//525174705415c8773bd465ce4b88b18d.mp4
<可可托海的牧羊人><送亲><站着等你三千年><红,https://vdse.bdstatic.com//695c59600d85d94047f091d3dc8c35d0.mp4
<可可托海的牧羊人><送亲><站着等你三千年><有,https://vdse.bdstatic.com//7cb310d32d15912afadd19d15be7039b.mp4
1场,http://txtest-xp2p.p2p.huya.com/0-0-0-2199063580964-10057-A-0-1.xs
2.吃米滴虫,http://epg.112114.xyz/douyu/315457
2场,http://txtest-xp2p.p2p.huya.com/0-0-0-2199063580966-10057-A-0-1.xs
3,http://hlsmgspdl.miguvideo.com:8080/depository_yqv/asset/zhengshi/5100/179/817/5100179817/media/5100179817_5008841674_56.mp4
3.华语院线,http://epg.112114.xyz/douyu/5581257
3场,http://txtest-xp2p.p2p.huya.com/0-0-0-2199063580968-10057-A-0-1.xs
4.神乐影片1,http://epg.112114.xyz/douyu/122402
2021火爆女生版伤感DJ情歌,https://vdse.bdstatic.com//8fe197e92568201d4899dfd3d94585a7.mp4
2021火线突围,https://new.iskcd.com/20210903/SWpImSm6/index.m3u8
2021年网络火爆伤感情歌6首,https://vdse.bdstatic.com//80e0473f97055cec1c9c76c1c7e5498a.mp4
2021年最好听的DJ串烧,https://vdse.bdstatic.com//cd396057d1fbcb12f0600d38a16effbc.mp4
2021年最火伤感音乐,https://vdse.bdstatic.com//6d39df48360bdb12f73800397c4a6c02.mp4
2021热门伤感DJ,https://vdse.bdstatic.com//06b4e9b185b843e694e4d20e9b0a0aac.mp4
2021伤感洗脑神曲,https://vdse.bdstatic.com//8ad29ca92a901b9992431cf0c5266101.mp4
2021一夜火爆几首DJ舞曲,https://vdse.bdstatic.com//1fc9fd16e02ca272bb81666b85bf4135.mp4
2021最好听情歌,https://vdse.bdstatic.com//e668900af1d683c1f8762c1184d516d3.mp4
2021最佳伤感情歌,https://vdse.bdstatic.com//59c5abc138bf1da5585bb765c530137e.mp4
2021最新情歌,https://vdse.bdstatic.com//3d84abfc356b7a2f128eea22fcb442a2.mp4
白发魔女2,http://hlsmgspdl.miguvideo.com:8080/depository_yqv/asset/zhengshi/3002/179/846/3002179846/media/3002179846_5002662006_56.mp4
白发魔女传,http://hlsmgspdl.miguvideo.com:8080/depository_yqv/asset/zhengshi/3006/200/760/3006200760/media/3006200760_5008202052_56.mp4
白蛇缘起,http://hlsmgspdl.miguvideo.com:8080/depository_yqv/asset/zhengshi/5102/110/357/5102110357/media/5102110357_5007857852_56.mp4
百变星君,http://hlsmgspdl.miguvideo.com:8080/depository_yqv/asset/zhengshi/3008/060/201/3008060201/media/3008060201_5010281061_56.mp4
百花香(抖音DJ版),https://vd4.bdstatic.com/mda-mdsd1z3wbqeeyumq/fhd/cae_h264_nowatermark/1620021906658368673/mda-mdsd1z3wbqeeyumq.mp4
冰封重生之门,http://hlsmgspdl.miguvideo.com:8080/depository_yqv/asset/zhengshi/3000/264/444/3000264444/media/3000264444_5005361206_56.mp4
玻璃樽,http://hlsmgspdl.miguvideo.com:8080/depository_yqv/asset/zhengshi/3004/303/336/3004303336/media/3004303336_5010483712_56.mp4
拆弹专家2,http://hlsmgspdl.miguvideo.com:8080/depository_yqv/asset/zhengshi/5102/239/218/5102239218/media/5102239218_5009740014_56.mp4
超级女警,http://hlsmgspdl.miguvideo.com:8080/depository_yqv/asset/zhengshi/5101/006/718/5101006718/media/5101006718_5009895426_56.mp4
超级体育,http://39.135.138.60:18890/PLTV/88888910/224/3221225767/index.m3u8
车载必备DJ《殇雪》《潮湿的心》《酒醉的蝴蝶》《多,https://vd3.bdstatic.com/mda-mhve4gb9hi8cstzk/1080p/cae_h264/1630319514896018158/mda-mhve4gb9hi8cstzk.mp4
车载DJ《多年以后》,https://vd3.bdstatic.com/mda-mhqekuegbh6112js/1080p/cae_h264/1629891559415737083/mda-mhqekuegbh6112js.mp4
